"Freq [MHz]","re(Z(1,1)) [] - a='0.14meter' air='0.25meter' antg='0.02meter' anth='0.02meter' antL='0.48meter' antt='0.005meter' antw='0.02meter' g='0.02meter' h='0.04meter' rad='0.005meter' W='0.12meter'","im(Z(1,1)) [] - a='0.14meter' air='0.25meter' antg='0.02meter' anth='0.02meter' antL='0.48meter' antt='0.005meter' antw='0.02meter' g='0.02meter' h='0.04meter' rad='0.005meter' W='0.12meter'"
100,0.627854187449926,-344.877533149184
105,0.686532603667408,-322.570525814421
110,0.754650635008793,-301.942993036062
115,0.832531948333499,-282.763756102439
120,0.920579998644854,-264.838867962116
125,1.01931781089958,-248.004010880529
130,1.12942238111281,-232.11863182984
135,1.25175613868305,-217.061352997228
140,1.38739889033114,-202.726330963931
145,1.5376842134424,-189.020328095953
150,1.70424464769673,-175.86031667808
155,1.88907059395006,-163.171484265188
160,2.09458869466917,-150.885537518624
165,2.32376681306277,-138.939222410325
170,2.58025467618204,-127.27299391021
175,2.86857183696926,-115.829776649744
180,3.19435783730551,-104.553762436285
185,3.5647031532096,-93.3891904791178
190,3.98858325424785,-82.2790494515577
195,4.47742129919315,-71.1636236693661
200,5.04580727795555,-59.9787699343176
205,5.71240449560207,-48.6537369210532
210,6.50108735370803,-37.1081873173552
215,7.44240716299304,-25.2477735588566
220,8.57565697785637,-12.956982250798
225,9.95231555736949,-0.0865902322466053
230,11.6431122826035,13.5702793600975
235,13.7558344502238,28.3301104082974
240,16.4982960446891,44.7725774046074
245,19.9100096695588,62.7734070265071
250,32.7454979164526,98.0890538557722
255,33.2354702146083,107.883479088136
260,84.5826678386887,203.293227383221
265,48.1361845763513,130.532336101122
270,327.070978060062,5.24957596247724
275,127.45213801633,95.6788400349097
280,120.175862481291,264.171188882126
285,706.024421740723,398.545080472739
290,400.200030321424,-164.574131008868
295,237.400623052888,-158.054561890651
300,152.844189631158,-121.217239851179
305,110.658069832729,-79.5488319682838
310,90.511005570407,-43.8573680975413
315,81.2901294895349,-14.538453389823
320,77.8453981197857,9.98369362825101
325,77.7787265117032,31.1390800309029
330,79.9533505031256,49.9600866300902
335,83.8676246053841,67.1319982278279
340,89.3645059089356,83.030825156754
345,96.4385569508139,97.7224407268787
350,105.039111322102,110.969813390571
355,114.848483644387,122.3185361589
360,125.085075201741,131.330498638507
365,134.463007096959,137.992035249514
370,141.494612614257,143.182052482815
375,145.199364025513,148.866136962479
380,145.893813448235,157.658157407449
385,145.4546675349,171.853405545255
390,146.822394935389,192.58606093475
395,153.211841514972,219.612130119769
400,167.608108772185,251.550481422647
405,192.649296971874,286.101123854673
410,230.594738892796,319.950856932395
415,282.977563642671,348.437595099972
420,349.680680555414,365.344389211602
425,427.477896725864,363.459145498659
430,508.776987385866,336.578477206307
435,582.112619799544,282.790259290121
440,635.544382104929,207.06723716364
445,661.571099181957,120.457931783523
450,659.935695734186,35.7142963666531
455,636.3739612963,-37.3797946951948
460,599.085351677315,-93.9799388716965
465,555.741427753673,-133.466896262454
470,512.144924718948,-157.739061560664
475,472.116225512444,-169.76309980684
480,437.882945756259,-172.711830022858
485,410.542536213693,-169.560697862367
490,390.446645826897,-162.957914759425
495,377.474373601743,-155.252625228106
500,371.179657059726,-148.620941950981
