"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.497185980453501,0.0267529213155265,0.0267529213155265,0.0870759315173576
3.1,-0.465277379516842,0.0280460930008939,0.0280460930008939,0.18075575979827
3.2,-0.430900429419875,0.0289232400370777,0.0289232400370778,0.271196272121743
3.3,-0.394273138574526,0.0292929771310797,0.0292929771310798,0.356152679529142
3.4,-0.355627183949443,0.0290616021661241,0.0290616021661241,0.433227025772805
3.5,-0.315206219021466,0.028137292809882,0.0281372928098819,0.499930677484212
3.6,-0.273264049092662,0.0264358518220167,0.0264358518220166,0.553773326428496
3.7,-0.230062705478502,0.0238881071273898,0.0238881071273897,0.592382753421734
3.8,-0.185870456521704,0.0204488798808893,0.0204488798808892,0.613658385888403
3.9,-0.140959798514965,0.0161071267427343,0.0161071267427343,0.61595848151315
4,-0.095605472997537,0.0108964334128847,0.0108964334128847,0.598314422777733
4.1,-0.0500825581739658,0.00490451368350206,0.00490451368350209,0.560655197417442
4.2,-0.00466468113348516,-0.00172015758577519,-0.00172015758577518,0.504010986735377
4.3,0.0403776060197909,-0.00876680668620047,-0.00876680668620048,0.430649792431259
4.4,0.0847782491169187,-0.0159680945794475,-0.0159680945794475,0.344091669446047
4.5,0.128276885510805,-0.0230145872434013,-0.0230145872434012,0.248950539241222
