"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.695945553820933,0.00818185120151816,0.00818185120151815,-0.839894110440455
3.1,-0.750604238268725,0.00216099796904073,0.00216099796904064,-0.771125786565336
3.2,-0.800545651773877,-0.00461771598183507,-0.00461771598183515,-0.684968754498245
3.3,-0.845416873791583,-0.0120813465506046,-0.0120813465506047,-0.583222781115253
3.4,-0.884892588315397,-0.0201201349021237,-0.0201201349021237,-0.468453166442128
3.5,-0.918677513079193,-0.0285854368738335,-0.0285854368738335,-0.343963513766314
3.6,-0.946508658516665,-0.0372901850784095,-0.0372901850784095,-0.21371027557373
3.7,-0.968157387545305,-0.046012560811965,-0.0460125608119651,-0.0821563800150985
3.8,-0.983431250870291,-0.0545032700966795,-0.0545032700966798,0.0459342055856204
3.9,-0.992175577808534,-0.0624963650302512,-0.0624963650302515,0.16575423650611
4,-0.994274809599656,-0.0697229852110305,-0.0697229852110307,0.272750837871614
4.1,-0.989653570695295,-0.0759268257208035,-0.0759268257208036,0.362943401890923
4.2,-0.978277483402598,-0.080879710535307,-0.0808797105353069,0.433233376460985
4.3,-0.960153742206428,-0.0843954930622661,-0.0843954930622659,0.481668927172856
4.4,-0.935331475714673,-0.0863406863573616,-0.0863406863573614,0.507622514765101
4.5,-0.903901935972763,-0.0866407179629153,-0.0866407179629153,0.51184300669498
