Freq[GHz],"rect(S(1,1))[]","rect(S(1,2))[]","rect(S(1,3))[]","rect(S(1,4))[]","rect(S(2,1))[]","rect(S(2,2))[]","rect(S(2,3))[]","rect(S(2,4))[]","rect(S(3,1))[]","rect(S(3,2))[]","rect(S(3,3))[]","rect(S(3,4))[]","rect(S(4,1))[]","rect(S(4,2))[]","rect(S(4,3))[]","rect(S(4,4))[]"
3,-0.345448459864491+0.109491283915022i,-0.059630833987732+0.0219172484475099i,-0.323667271379592-0.174923586301497i,0.0373533995102894-0.00676434673171371i,-0.0596308339877309+0.0219172484475095i,0.0457806182826202+0.0536097956395055i,-0.0365167592867231-0.00661244878343581i,-0.00667278486910467+0.000359112257216351i,-0.323667271379596-0.1749235863015i,-0.0365167592867228-0.00661244878343586i,-0.344723848765544+0.109028009456107i,0.0602020402956514+0.0221925856583134i,0.0373533995102955-0.00676434673171496i,-0.00667278486910552+0.000359112257216415i,0.0602020402956459+0.0221925856583116i,0.0456348168914852+0.053395575241514i
3.1,0.11346523500899-0.0323563829624046i,0.0045893433298744-0.00222849105217946i,0.206708939472055+0.113146865270898i,-0.162519741198853+0.0143982422301106i,0.00458934332987979-0.00222849105218214i,0.272463739268013+0.242044183373275i,0.16298617341059+0.0142998494749577i,-0.0565843289928605-0.00033494068993211i,0.206708939472056+0.113146865270898i,0.162986173410589+0.0142998494749573i,0.114684808431747-0.0326137228828796i,-0.00433689346750797-0.00210645773482156i,-0.162519741198852+0.0143982422301104i,-0.0565843289928592-0.000334940689932136i,-0.00433689346749983-0.0021064577348176i,0.272496246637675+0.242068405426128i
3.2,0.0361405339984376-0.0246493563775924i,-0.149722912193962+0.0909195535370043i,0.266250333375532+0.0396527371722271i,-0.108351895252961-0.00402855298638814i,-0.149722912193957+0.0909195535369991i,0.439918853825884+0.277298064763249i,0.10822710229846-0.00409534537724339i,-0.0129750961754942-0.000446970139559378i,0.266250333375532+0.0396527371722271i,0.108227102298461-0.00409534537724358i,0.037138509364128-0.0253142520186629i,0.149659970820769+0.0909608284102318i,-0.108351895252961-0.00402855298638832i,-0.0129750961754945-0.000446970139559411i,0.149659970820769+0.0909608284102326i,0.439991432207133+0.277183608627184i
3.3,-0.100860502194149+0.0788503176048187i,-0.292199712451485+0.160647240050578i,0.203348683923628+0.00895338787623102i,-0.0582368313093917-0.003657855731243i,-0.292199712451489+0.160647240050575i,0.594753641485502+0.248147818116795i,0.057936941135445-0.0036666244430963i,0.01186069904699+0.000323619022964869i,0.203348683923625+0.00895338787623086i,0.0579369411354449-0.0036666244430964i,-0.100225094197928+0.0783337087856131i,0.292228035217227+0.160858351716799i,-0.0582368313093922-0.00365785573124301i,0.0118606990469901+0.000323619022964877i,0.292228035217222+0.160858351716797i,0.594555098869929+0.247945058084815i
3.4,-0.219956704496527+0.166923013054072i,-0.408840194483503+0.177179194611554i,0.187069067387193-0.00035713822364252i,-0.0256386409630503-0.00204835642639377i,-0.408840194483502+0.177179194611552i,0.713937109743522+0.146617205351311i,0.0251554219832964-0.00201916174071385i,0.0292852526610085+0.000431494488222645i,0.187069067387191-0.000357138223642342i,0.0251554219832958-0.00201916174071379i,-0.219848624118978+0.166760799645801i,0.409094867693588+0.177473527270317i,-0.0256386409630507-0.0020483564263938i,0.0292852526610084+0.000431494488222641i,0.409094867693587+0.177473527270319i,0.713552000137619+0.146681654798525i
3.5,-0.383943757515533+0.228568619232758i,-0.464654172766169+0.129160392006752i,0.232722827483721-0.0252655742937665i,0.0419972034256169+0.00488348228541593i,-0.464654172766175+0.129160392006754i,0.773140149796136-0.0208159738027381i,-0.042969207819674+0.0049992587578821i,0.0523373029648495-0.00119144471995334i,0.232722827483719-0.0252655742937668i,-0.0429692078196737+0.00499925875788202i,-0.385272621805555+0.228520071792732i,0.464950022681809+0.129049349450384i,0.0419972034256191+0.00488348228541613i,0.0523373029648488-0.0011914447199534i,0.464950022681811+0.129049349450383i,0.773271410105602-0.0203336725638619i
3.6,-0.171310707322675+0.0763801775737121i,-0.479919513743606+0.177109232552643i,-0.140022041618565+0.0292602786797077i,0.0858484416706121-0.00813006375189784i,-0.479919513743608+0.177109232552643i,0.614365327840477-0.148461555495054i,-0.0855637671724676-0.00818000692013155i,-0.0644674448900362+0.00231335342416039i,-0.140022041618566+0.029260278679708i,-0.0855637671724679-0.00818000692013165i,-0.16756315610048+0.0739989133526635i,0.478203916912297+0.177593244234787i,0.0858484416706116-0.0081300637518978i,-0.0644674448900364+0.00231335342416038i,0.478203916912299+0.177593244234788i,0.613465990039212-0.148615857077957i
3.7,-0.29091177033113+0.179536722805918i,-0.655452387825705+0.123717178944215i,-0.0413495857371132+0.00032784016791664i,-0.00401556160274714+6.42427663327741E-05i,-0.655452387825703+0.123717178944214i,0.550224185281575-0.192671293102298i,0.00455307202604172+7.40942789797436E-05i,-0.0188286859156127+4.09005220905036E-05i,-0.0413495857371139+0.000327840167916652i,0.00455307202604191+7.40942789797473E-05i,-0.290233344766181+0.179383346632443i,0.655700779608198+0.123672212373804i,-0.00401556160274679+6.42427663327669E-05i,-0.0188286859156126+4.09005220905072E-05i,0.655700779608195+0.123672212373802i,0.550190848002613-0.19289275457205i
3.8,-0.452280197012368+0.2408309050221i,-0.673385105569837-0.0107781840562772i,-0.00989383320689073+6.37241356414656E-05i,-0.00771895213984578-2.03385712015413E-05i,-0.673385105569844-0.0107781840562867i,0.432590979369511-0.235857670208361i,0.00797819873165245-2.12035209096256E-05i,-0.00628416573803976-4.5850895906242E-05i,-0.00989383320687484+6.37241356414588E-05i,0.00797819873165566-2.12035209096407E-05i,-0.451712121643699+0.240307818715552i,0.674127432868665-0.0106268604949207i,-0.00771895213984396-2.03385712015203E-05i,-0.00628416573803969-4.58508959062294E-05i,0.674127432868664-0.0106268604949224i,0.432645427704974-0.235461759448379i
3.9,-0.584430540462623+0.158793762738697i,-0.549770376165942-0.104966043134528i,-0.00146695646772662-2.54125332250339E-05i,-0.0239922892652073-0.000393954000333119i,-0.549770376165939-0.104966043134534i,0.266276974925287-0.210579187989152i,0.0242921069154145-0.000415900262866859i,0.00782055511322352+0.000182869778485035i,-0.00146695646773112-2.54125332251152E-05i,0.0242921069154178-0.000415900262867003i,-0.583416278984626+0.156599834759301i,0.549262355037907-0.105010194790985i,-0.0239922892652279-0.00039395400033374i,0.00782055511323669+0.000182869778485332i,0.549262355037906-0.105010194790982i,0.266996286510237-0.211094223521781i
4,-0.471714000954876+0.033758949605858i,-0.407643389647191-0.108587246537992i,-0.0587969000676964+0.00291008689541434i,0.0334404877672963-0.000759361924326138i,-0.407643389647191-0.108587246537992i,0.0812534555604484-0.0803130645282497i,-0.0331065256995914-0.000760447332858071i,-0.0267896769618928+0.000429338521100326i,-0.0587969000676965+0.00291008689541432i,-0.0331065256995916-0.00076044733285808i,-0.469473206268971+0.0329702565782742i,0.407699428794768-0.108740729909264i,0.0334404877673015-0.000759361924326122i,-0.0267896769618938+0.000429338521100367i,0.407699428794768-0.108740729909265i,0.0819401278602026-0.0809123299999041i
4.1,-0.357264208986333+0.0237712089216158i,-0.33198920440846-0.106279427302229i,0.101273635647186-0.00106302893601127i,0.00026912512346996+2.48001735323527E-05i,-0.331989204408463-0.106279427302232i,-0.121908240517038+0.11599461412278i,-0.00107914521256692+0.000100469350125419i,0.0502967489465614+0.00124071987665824i,0.101273635647185-0.00106302893601116i,-0.00107914521256577+0.000100469350125312i,-0.353922276029755+0.0225693431671939i,0.331180241330233-0.105873241475172i,0.000269125123468663+2.4800173532233E-05i,0.0502967489465608+0.00124071987665831i,0.331180241330234-0.105873241475171i,-0.122161501855957+0.116190517872952i
4.2,-0.12967685931116+0.0355579250238508i,-0.29279219512628-0.0782290874993179i,-0.053503740392619+0.00330792977578439i,0.056770972945433-0.000304482044318912i,-0.292792195126278-0.0782290874993172i,-0.400505927783789+0.296569871563684i,-0.0573858822213525-0.000343822819176126i,-0.0112716581241781-1.01973067658973E-05i,-0.0535037403926192+0.00330792977578438i,-0.057385882221352-0.000343822819176118i,-0.126400356539874+0.0341427451195678i,0.288862242070241-0.077481210849322i,0.0567709729454331-0.000304482044318944i,-0.0112716581241785-1.01973067658868E-05i,0.288862242070241-0.0774812108493211i,-0.397882944598807+0.296352317877212i
4.3,-0.289900223506187+0.0881304212999613i,-0.184123960357179-0.0804551796412138i,0.107955466813199+0.0261189658861046i,-0.0880107218418382-0.00510710454671453i,-0.184123960357177-0.0804551796412133i,-0.637548138141782+0.209670958673941i,0.0925189418284622-0.00536254819791212i,0.0256047791929852+0.00309222684341791i,0.1079554668132+0.0261189658861045i,0.0925189418284588-0.00536254819791164i,-0.293749920120882+0.0904323342999877i,0.188354957003584-0.0821235239930632i,-0.088010721841838-0.00510710454671445i,0.0256047791929826+0.00309222684341761i,0.18835495700358-0.0821235239930617i,-0.640197116561109+0.208838286443391i
4.4,-0.340562562436441+0.122872211439981i,-0.0456890248971793-0.0148375810242655i,0.083047902148822-0.0159558387393991i,0.0649358808927593+0.000462391857857223i,-0.0456890248971788-0.0148375810242654i,-0.818540929530886+0.0199959747465739i,-0.0662578919579921+0.000483044213114668i,0.021900712194369+0.000201892391081509i,0.0830479021488215-0.0159558387393989i,-0.0662578919579928+0.00048304421311468i,-0.338448545943377+0.121896785861754i,0.0433287178170102-0.0140622201876314i,0.0649358808927587+0.000462391857857242i,0.0219007121943689+0.00020189239108148i,0.0433287178170026-0.0140622201876293i,-0.817980906104378+0.0200300600212099i
4.5,-0.489531444251813+0.200666347712112i,0.0700894422665896+0.0187586516811422i,-0.0703507556922823-0.00635450855280485i,0.0342520045668088-0.00201326317076234i,0.0700894422665883+0.0187586516811419i,-0.639912170670028-0.314885648928698i,-0.0339592430793578-0.00209410067607032i,0.0218384220062427+0.000892058050032875i,-0.0703507556922827-0.00635450855280498i,-0.0339592430793583-0.00209410067607034i,-0.492565716299635+0.200866763851157i,-0.0698629771086266+0.0184918766032449i,0.0342520045668104-0.00201326317076248i,0.0218384220062437+0.000892058050032929i,-0.0698629771086317+0.0184918766032461i,-0.64030854582119-0.31555607196454i
4.6,-0.602433838978485+0.139578286165739i,0.11180094117855+0.0046282443311903i,0.19567584581971+0.00527545285895029i,-0.0477419777648021+0.00468865739954426i,0.111800941178551+0.00462824433119042i,-0.25854881055573-0.227391840510898i,0.048172634822132+0.00470465556409i,0.0630739212694098-0.00196820247954215i,0.19567584581971+0.00527545285895046i,0.0481726348221308+0.0047046555640899i,-0.598303214197459+0.137140878274627i,-0.112057817258749+0.00454529679836542i,-0.0477419777647999+0.00468865739954409i,0.0630739212694105-0.00196820247954208i,-0.11205781725875+0.00454529679836534i,-0.257268780540988-0.226756281224517i
4.7,-0.560766773397212+0.0763602891785775i,0.00179977579216289-0.000179398119440524i,0.103899738270198-0.0203112833757192i,-0.110966576816915+0.00389839581911313i,0.00179977579216155-0.000179398119440385i,0.0516710162011062+0.0515305649497207i,0.111176547295083+0.00389008807956129i,0.0234126643999094-0.00168634770388089i,0.103899738270198-0.0203112833757191i,0.111176547295082+0.0038900880795612i,-0.557371575386575+0.0760948292852671i,-0.00112058516084711-0.000113184528534544i,-0.110966576816916+0.00389839581911317i,0.0234126643999091-0.00168634770388088i,-0.00112058516085057-0.000113184528534893i,0.0526816841661563+0.0525589618112851i
4.8,-0.530177821745421+0.0555896678501673i,-0.134700368572263+0.0166353281641134i,-0.0694915864573356+0.0137765557025497i,-0.105923433655662-0.00522876272900617i,-0.134700368572258+0.0166353281641134i,0.337202237882535+0.252648069750112i,0.106162872362011-0.00526724636610005i,-0.0385519566942037+0.00271128404896033i,-0.0694915864573416+0.0137765557025507i,0.106162872362012-0.00526724636610029i,-0.52762063313123+0.0555018713034683i,0.135755143398436+0.0168660524611433i,-0.105923433655668-0.00522876272900856i,-0.0385519566942158+0.00271128404896136i,0.135755143398396+0.016866052461133i,0.338206351452346+0.253268845696845i
4.9,-0.5089510114523+0.048619123445791i,-0.224448045617997+0.0192995270341263i,-0.160451662296469+0.017007520258182i,-0.0488297784427846-0.00502677542435953i,-0.224448045617995+0.0192995270341255i,0.588220387403766+0.251694434764715i,0.0488432892168326-0.00504771628961841i,-0.0758280593827054+0.00143651953650262i,-0.160451662296468+0.0170075202581812i,0.0488432892168299-0.00504771628961814i,-0.506549232117893+0.0487032561649629i,0.225501410720565+0.0194967641414472i,-0.0488297784427793-0.0050267754243596i,-0.0758280593827104+0.00143651953650246i,0.225501410720538+0.019496764141445i,0.589066014748205+0.251700937003853i
5,-0.511169794167212+0.0537392166876533i,-0.278106244386765+0.0119650890033601i,-0.183125213091722+0.000837603200692811i,0.0232373177024621+0.00244774427742375i,-0.278106244386762+0.0119650890033597i,0.733272878763259+0.10289430436386i,-0.0234937880864617+0.00248140841856875i,-0.0599122520329925-0.00224187724593239i,-0.183125213091723+0.000837603200693023i,-0.0234937880864591+0.00248140841856842i,-0.509211619692217+0.0540798463797022i,0.279287344107151+0.0120988411871292i,0.0232373177024587+0.00244774427742349i,-0.0599122520329889-0.00224187724593205i,0.279287344107155+0.012098841187127i,0.733597110330217+0.102590015422111i
5.1,-0.550518664686947+0.0591705403589691i,-0.323729188315311+0.00112983315866861i,-0.153156442929139-0.012632560566982i,0.0733625534965887+0.00463576022160114i,-0.323729188315313+0.00112983315866889i,0.738696362539379-0.0862767709154252i,-0.0736915077804629+0.00465724312949349i,-0.0146364276565043-0.000842815588679935i,-0.153156442929142-0.0126325605669824i,-0.0736915077804595+0.00465724312949357i,-0.549233948372919+0.0596346403615935i,0.325009312236205+0.00112918480800845i,0.0733625534965855+0.0046357602216014i,-0.014636427656499-0.000842815588679495i,0.325009312236201+0.00112918480800617i,0.738641352468396-0.0863277278052856i
5.2,-0.611158507684255+0.0453284770123741i,-0.3718023199113-0.0182144340682198i,-0.0913465704892072-0.0123508115692698i,0.0825514800899309+0.000789057017691107i,-0.371802319911302-0.0182144340682201i,0.630463100137809-0.219960037981151i,-0.0827412433406352+0.000776054722696241i,0.0205331233341733+0.000870748944050618i,-0.0913465704892065-0.0123508115692699i,-0.0827412433406365+0.000776054722696456i,-0.610350546454573+0.0456841083527042i,0.373000973284509-0.0184039321307198i,0.082551480089929+0.000789057017691213i,0.0205331233341739+0.000870748944050389i,0.373000973284508-0.0184039321307188i,0.630534204280166-0.219707616038388i
5.3,-0.660599566822167+0.00282224561207024i,-0.40708665261562-0.0519665743659512i,-0.0262965320410069-0.00393470500966479i,0.0639289914596124-0.00179295711655474i,-0.407086652615622-0.0519665743659512i,0.474542730034254-0.258591494033309i,-0.063938356915127-0.00180567131043593i,0.0323891465733434+0.000552056294060177i,-0.0262965320410063-0.00393470500966467i,-0.0639383569151263-0.001805671310436i,-0.659978337066156+0.00294625851932603i,0.408086210600709-0.0523386509102577i,0.0639289914596095-0.00179295711655457i,0.032389146573339+0.000552056294059884i,0.408086210600709-0.0523386509102566i,0.474927133860184-0.258373644508848i
5.4,-0.678247234210953-0.0580888267789841i,-0.410381492184415-0.0933403486817073i,0.0266305262552973+0.00373307731385188i,0.0376602626567915-0.00172978264670991i,-0.410381492184416-0.0933403486817079i,0.322955162639882-0.223268625082981i,-0.0375642235330015-0.00172952806584179i,0.0285747611615453-8.62888865311984E-05i,0.0266305262552965+0.00373307731385175i,-0.0375642235329996-0.0017295280658417i,-0.677589971101258-0.0581925360699822i,0.411146812289715-0.0938400683008617i,0.0376602626567924-0.00172978264670989i,0.0285747611615432-8.6288886531184E-05i,0.411146812289715-0.0938400683008595i,0.323576396700029-0.223294377045255i
5.5,-0.660488014211224-0.119905838278025i,-0.377088429265316-0.126663918498881i,0.0678787968823331+0.00821773460036805i,0.0130623592546985-0.000660300912503483i,-0.377088429265315-0.126663918498881i,0.191491297345935-0.150367484590729i,-0.0129423402789406-0.00065433015438521i,0.0179868119165033-0.000261612993454826i,0.0678787968823328+0.00821773460036806i,-0.01294234027894-0.000654330154385177i,-0.659605839442183-0.120128000267608i,0.377616573905404-0.127211233600643i,0.0130623592547018-0.000660300912503671i,0.0179868119165051-0.000261612993454827i,0.377616573905406-0.127211233600643i,0.192288335066041-0.150711130130024i
5.6,-0.612238419949018-0.168078969520219i,-0.313920556512402-0.138442443917409i,0.103837016621596+0.0101077813686071i,-0.00828324513832455+0.000388339492054237i,-0.313920556512403-0.13844244391741i,0.0761624331848225-0.0633888045817601i,0.00837032550429949+0.000391754385450406i,0.00563582727875301-0.000103139290604103i,0.103837016621596+0.010107781368607i,0.00837032550430042+0.00039175438545044i,-0.611029966243214-0.168237962067853i,0.314217895354855-0.138944546125846i,-0.00828324513832355+0.000388339492054202i,0.00563582727875321-0.000103139290604104i,0.314217895354854-0.138944546125847i,0.0771337534739768-0.0640828058530491i
5.7,-0.541557241047851-0.192813304905567i,-0.231797650164699-0.12281769913924i,0.139953476047247+0.00920129705595859i,-0.0264428099241334+0.000949977586976109i,-0.231797650164704-0.122817699139246i,-0.0317892088049588+0.0266478043473832i,0.0264526229739069+0.000946673827526882i,-0.00549524352298935+8.37420636106887E-05i,0.139953476047241+0.00920129705595843i,0.0264526229739053+0.0009466738275266i,-0.540053128373068-0.192757579222264i,0.231873347561955-0.123174302015621i,-0.0264428099241311+0.000949977586975857i,-0.00549524352299475+8.37420636107421E-05i,0.231873347561956-0.123174302015622i,-0.0306123138049328+0.0256242596168653i
5.8,-0.459174402609991-0.190116617403892i,-0.141652883470177-0.0833743110340105i,0.175539303572302+0.00290036804474688i,-0.0384451326154927+0.000624625444932503i,-0.141652883470172-0.0833743110340154i,-0.141221789356178+0.113659832380772i,0.0383357680425581+0.000617324702015963i,-0.0122095055634966+7.95516082812566E-05i,0.175539303572295+0.00290036804474885i,0.0383357680425388+0.000617324702015222i,-0.457477678441087-0.189815222846619i,0.141518483328792-0.0835008659786122i,-0.0384451326154756+0.000624625444931861i,-0.012209505563499+7.95516082810559E-05i,0.141518483328808-0.083500865978622i,-0.139793459282954+0.112422830259108i
5.9,-0.379779508016043-0.165729869429093i,-0.0519134546715614-0.0315607719074403i,0.195990052413754-0.012000342159629i,-0.0357110037460722-0.000351827201783249i,-0.051913454671532-0.0315607719074261i,-0.260546041984597+0.189990093129523i,0.035471971626539-0.00035130890872925i,-0.0110195042472785-4.388059237428E-05i,0.195990052413761-0.012000342159626i,0.0354719716265109-0.000351308908728514i,-0.377954795670386-0.165251923652915i,0.0515736789689165-0.0314247243829898i,-0.0357110037460485-0.00035182720178273i,-0.0110195042472644-4.38805923744169E-05i,0.0515736789689451-0.0314247243830088i,-0.25883387719528+0.188786932327911i
6,-0.319228466970395-0.136428012917118i,0.0320835884495518+0.018910328844859i,0.172440984465401-0.0282966060517106i,-0.011387669731512-0.000317621194242074i,0.032083588449591+0.0189103288448831i,-0.396186379189717+0.240161413045098i,0.0110992577059491-0.000307851143127357i,-0.0033788270753432-2.9559548600612E-05i,0.172440984465412-0.0282966060517121i,0.0110992577059468-0.0003078511431271i,-0.317278388388519-0.135859058060948i,-0.0326467531788796+0.0192777247503221i,-0.0113876697315075-0.000317621194241804i,-0.00337882707533024-2.95595486004955E-05i,-0.0326467531788661+0.0192777247503158i,-0.394248136095868+0.239376285853761i
6.1,-0.275950419133744-0.115226118082761i,0.108185270184511+0.0588596965157942i,0.0869798211159597-0.022853946579455i,0.0236862674879751+0.0003756305751643i,0.108185270184455+0.0588596965157669i,-0.54422201250761+0.235003367182858i,-0.0238347611257659+0.000368328018143722i,0.000752779523538209+4.73045642406926E-06i,0.0869798211159569-0.0228539465794538i,-0.0238347611257745+0.000368328018143975i,-0.273760458710415-0.114573882718104i,-0.109023789468487+0.059378235983947i,0.0236862674879786+0.000375630575164459i,0.00075277952353593+4.73045642405713E-06i,-0.109023789468471+0.0593782359839307i,-0.542355690413291+0.235038062542562i
6.2,-0.21614707913552-0.0889461637774722i,0.180774065641103+0.0857933738815852i,-0.0541530993800108+0.0167564618666627i,0.0327260326072859-0.00115113584890036i,0.180774065641195+0.0857933738817128i,-0.667544977931532+0.138664543803589i,-0.032494246117044-0.00115900183363451i,-0.00289836460890305-3.02476247026437E-05i,-0.0541530993800037+0.0167564618666599i,-0.0324942461170572-0.00115900183363534i,-0.213332370359911-0.0879697706615848i,-0.181689601324061+0.0861657948491203i,0.0327260326072957-0.00115113584890068i,-0.00289836460889798-3.02476247026093E-05i,-0.18168960132373+0.0861657948489944i,-0.666355883287149+0.139530819476781i
6.3,-0.143007858324183-0.0478049975196453i,0.210444493112026+0.0817565116351517i,-0.219414068649233+0.0523782520685781i,-0.0298997570687063+0.00236572214694356i,0.210444493112016+0.0817565116351722i,-0.677008982571243-0.0362004988608165i,0.0304869191296255+0.00241680818878366i,0.0132430713210412+0.000422876419348114i,-0.219414068649234+0.0523782520685785i,0.0304869191296264+0.00241680818878363i,-0.139607138405118-0.0466313124484489i,-0.211075071414723+0.0817743461209049i,-0.0298997570687053+0.00236572214694338i,0.0132430713210398+0.000422876419348063i,-0.211075071414625+0.0817743461208677i,-0.676917044529158-0.0352648534934979i
6.4,-0.155574761432132-0.0297098193166931i,0.234292297374917+0.0835563765151713i,-0.299345005845579+0.0212380233329325i,-0.114903595876518+0.00342826219307471i,0.234292297374864+0.0835563765151537i,-0.499791186983919-0.15642904523352i,0.115347983270519+0.00340285632481592i,0.0676823666644646+0.000611996278616527i,-0.299345005845582+0.0212380233329373i,0.115347983270522+0.00340285632481551i,-0.152487916088196-0.0288812332540054i,-0.234131288188448+0.083233493965811i,-0.114903595876522+0.00342826219307397i,0.0676823666644604+0.000611996278616436i,-0.234131288188447+0.0832334939658002i,-0.500611488150226-0.155884835621945i
6.5,-0.270764424909951-0.0321307514559253i,0.310517600071038+0.0936153912540779i,-0.272959828120118-0.0171144382774292i,-0.122005738569707-0.00904064556227151i,0.310517600071037+0.093615391254079i,-0.244668506022478-0.115286942326265i,0.122080276529315-0.00909749186245497i,0.0645138224319035-0.00522557506137838i,-0.272959828120122-0.0171144382774307i,0.122080276529313-0.00909749186245499i,-0.268750830259421-0.0313695214644846i,-0.309842432787499+0.0932237875025111i,-0.122005738569707-0.00904064556227171i,0.0645138224319006-0.00522557506137769i,-0.309842432787497+0.093223787502508i,-0.244181313463227-0.11491385064173i
