"Freq [GHz]","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.001meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0meter' h='0.002meter' rad='0.00025meter' W='0.006meter'","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.001meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0.001meter' h='0.002meter' rad='0.00025meter' W='0.006meter'","re(Zt(Rectangle3_T1,Rectangle3_T1)) [] - air='0.0125meter' antg='0.001meter' anth='0.001meter' antL='0.024meter' antt='0.00025meter' antw='0.001meter' g='0.005meter' h='0.002meter' rad='0.00025meter' W='0.006meter'"
2,0.391394781656039,0.633304411771445,0.968205156309004
2.25,0.385033573971242,0.748900940465707,1.07818750604162
2.5,0.388562625830958,0.974313456236405,1.21706717545232
2.75,0.401611388949999,1.28939155102565,1.39444970087789
3,0.424252981292103,1.69369738491417,1.62302545634751
3.25,0.456721458103392,2.20636796495347,1.91977566327836
3.5,0.499292409939038,2.87139034181943,2.30769372176606
3.75,0.552278055707196,3.7698214904229,2.81841564381497
4,0.616115950315686,5.04405464473855,3.49650444103364
4.25,0.691535302885351,6.94637862976365,4.40695056855653
4.5,0.779780794024791,9.94161676745245,5.6495244887225
4.75,0.882868771640413,15.0079658197811,7.38957983456905
5,1.00384975963031,29.7223033265798,9.93522041846908
5.25,1.14705615841001,97.7926159792339,13.9796998534232
5.5,1.31832350245517,129.552494659393,21.7308154845606
5.75,1.52518409869646,608.951622749547,49.9158326807451
6,1.77703910588561,153.262614929261,64.9983008664253
6.25,2.08531554821691,84.9630107129305,45.2164257118168
6.5,2.46360548058199,77.7122826237566,24.1783492438206
6.75,2.92776192540051,86.253618407001,28.1095504082546
7,3.49588312867868,104.738262428979,39.2534779843252
