"Freq [MHz]","re(Zt(Rectangle3_T1,Rectangle3_T1)) []","im(Zt(Rectangle3_T1,Rectangle3_T1)) []"
100,0.65056557723175,-271.777187716475
105,0.71566495298071,-252.538906083898
110,0.79107047854126,-234.643003172408
115,0.877475963125333,-217.893918555915
120,0.975736626997476,-202.126073240242
125,1.08691549184531,-187.197455936491
130,1.21233322056,-172.984598081409
135,1.35362594242979,-159.378548847747
140,1.51281687503843,-146.281562908418
145,1.69240934909766,-133.60427915925
150,1.89551175061261,-121.263207672414
155,2.12600967920792,-109.178359311642
160,2.38880853651908,-97.2708476009209
165,2.69018336462107,-85.4602592620206
170,3.03829824391709,-73.6615092993836
175,3.44401499194589,-61.7807099018845
180,3.92233036694085,-49.7089726235965
185,4.50158272923647,-37.3029728493071
190,5.18401580954122,-24.4469497350285
195,6.08729712638366,-10.7504129421216
200,7.13937537477653,3.74618969203837
205,8.72213681071292,20.0582854642233
210,10.668118220649,38.8132517546196
215,14.3213057593449,64.0561646757248
220,27.5653089679956,108.323062667978
225,13.9785754625139,45.2385564092376
230,22.9273420674558,137.918633191741
235,114.434087209469,236.457658580895
240,275.904356659233,353.564219344779
245,142.407943374078,195.48177224816
250,247.857120805441,332.721341741785
255,212.29513808074,181.154360565795
260,225.702906072437,-109.599179361594
265,180.382390306037,227.6848061899
270,342.413324923427,20.5101981173296
275,298.932594683704,31.7695365340503
280,367.521902896196,-86.7008675924313
285,216.17434336605,-182.481323960577
290,121.312076371701,-133.954564734051
295,86.3880866696083,-82.8894411325738
300,73.3812370395287,-42.968518851049
305,69.8050327604316,-11.1550807703479
310,71.2040666592055,15.1964689447499
315,75.6909360873124,37.6811470848818
320,82.3235496426888,57.2296543006868
325,90.5335509701572,74.3948149514721
330,99.8943449070258,89.5349820096585
335,110.026855165201,102.943922495686
340,120.581888263873,114.951315488274
345,131.279844055089,125.995571183138
350,141.995933263345,136.65652594758
355,152.873489681856,147.631694587738
360,164.442331755781,159.64401489934
365,177.718093948747,173.271727584904
370,194.250566112283,188.683208237982
375,216.049511102814,205.254422405976
380,245.240509228165,221.100549200309
385,283.280200180373,232.73549486713
390,329.789874281624,235.290912436189
395,381.483156727241,223.588999417858
400,431.678573484813,194.015726618911
405,471.208651334378,147.19454340588
410,492.150073599062,89.6906566368938
415,492.014090280269,31.3831845886943
420,473.50226285787,-19.1717068616578
425,441.605156309208,-56.0954223090168
430,402.60285442704,-75.4072259821728
435,364.118343206465,-75.3959552937494
440,334.154102090344,-57.0974017484463
445,320.898913843387,-23.5338708396604
450,335.446826014419,19.1336909186745
455,393.10389348073,50.2651610741443
460,479.836616399064,15.6727847201214
465,497.706234902681,-82.0418699142774
470,454.400644574362,-130.707742254971
475,430.476700078902,-145.051177128912
480,410.740561068711,-164.00861306743
485,384.688034064845,-166.259818042394
490,380.040378370619,-150.963994677993
495,414.002175500521,-143.497733581148
500,476.070385496437,-201.1561520086
505,454.197084780256,-342.310567078584
510,310.513473894038,-406.141334726435
515,196.125016919994,-359.953128240782
520,147.577975737413,-285.659295100258
525,141.860602296949,-229.50870408378
530,146.414760472285,-189.642933753666
535,164.270174083669,-158.637749614692
540,195.809245054446,-147.76154305806
545,216.090216101384,-172.928539018277
550,197.401960904499,-201.190059482565
555,151.944108346172,-198.816541013336
560,122.847558383859,-155.541205793071
565,153.271532150145,-98.1750578869933
570,180.459446441276,-80.6569501135456
575,305.955791583292,-28.2687982409356
580,366.762483039559,-371.93778478892
585,86.4710164505937,-343.845637979189
590,30.6792897894898,-215.309522770239
595,57.557362696334,-125.027156177764
600,97.0612123611902,-147.902323221813
